crime_code,crime_name,month_end_date,detected,registered
5,Robbery -Chain Snatching,2019-03-31,5.0,11
6,Extortion,2019-03-31,6.0,11
7,H.B.T.Day / Night,2019-03-31,48.0,168
8,Thefts,2019-03-31,120.0,483
9,M.V.Thefts.,2019-03-31,45.0,199
10,Hurt,2019-03-31,318.0,397
11,Riots.,2019-03-31,30.0,36
12,Rape,2019-03-31,47.0,69
13,Molestaion,2019-03-31,171.0,257
14,Other I.P.C.,2019-03-31,932.0,1610
1,Murder,2019-04-30,19.0,19
2,Att.to.C.Murder,2019-04-30,25.0,26
3,Dacoity,2019-04-30,1.0,1
4,Robbery (Excluding Chain Snatching),2019-04-30,54.0,72
5,Robbery -Chain Snatching,2019-04-30,6.0,20
6,Extortion,2019-04-30,14.0,17
7,H.B.T.Day / Night,2019-04-30,35.0,146
8,Thefts,2019-04-30,90.0,394
9,M.V.Thefts.,2019-04-30,38.0,216
10,Hurt,2019-04-30,271.0,360
11,Riots.,2019-04-30,20.0,28
12,Rape,2019-04-30,64.0,84
13,Molestaion,2019-04-30,146.0,210
14,Other I.P.C.,2019-04-30,712.0,1293
1,Murder,2019-05-31,8.0,8
2,Att.to.C.Murder,2019-05-31,19.0,21
3,Dacoity,2019-05-31,2.0,2
4,Robbery (Excluding Chain Snatching),2019-05-31,42.0,62
5,Robbery -Chain Snatching,2019-05-31,3.0,13
6,Extortion,2019-05-31,9.0,17
7,H.B.T.Day / Night,2019-05-31,37.0,161
8,Thefts,2019-05-31,117.0,511
9,M.V.Thefts.,2019-05-31,29.0,213
10,Hurt,2019-05-31,300.0,392
11,Riots.,2019-05-31,25.0,31
12,Rape,2019-05-31,63.0,81
13,Molestaion,2019-05-31,139.0,207
14,Other I.P.C.,2019-05-31,702.0,1388
1,Murder,2019-06-30,13.0,15
2,Att.to.C.Murder,2019-06-30,24.0,25
3,Dacoity,2019-06-30,1.0,2
4,Robbery (Excluding Chain Snatching),2019-06-30,63.0,85
5,Robbery -Chain Snatching,2019-06-30,8.0,15
6,Extortion,2019-06-30,11.0,16
7,H.B.T.Day / Night,2019-06-30,52.0,185
8,Thefts,2019-06-30,102.0,502
9,M.V.Thefts.,2019-06-30,47.0,229
10,Hurt,2019-06-30,323.0,453
11,Riots.,2019-06-30,32.0,39
12,Rape,2019-06-30,63.0,91
13,Molestaion,2019-06-30,153.0,237
14,Other I.P.C.,2019-06-30,1054.0,1903
1,Murder,2019-07-31,14.0,14
2,Att.to.C.Murder,2019-07-31,36.0,37
3,Dacoity,2019-07-31,0.0,0
4,Robbery (Excluding Chain Snatching),2019-07-31,81.0,88
5,Robbery -Chain Snatching,2019-07-31,5.0,12
6,Extortion,2019-07-31,22.0,26
7,H.B.T.Day / Night,2019-07-31,38.0,203
8,Thefts,2019-07-31,121.0,541
9,M.V.Thefts.,2019-07-31,36.0,265
10,Hurt,2019-07-31,233.0,307
11,Riots.,2019-07-31,14.0,19
12,Rape,2019-07-31,42.0,68
13,Molestaion,2019-07-31,143.0,203
14,Other I.P.C.,2019-07-31,1099.0,1966
1,Murder,2019-08-31,13.0,15
2,Att.to.C.Murder,2019-08-31,19.0,21
3,Dacoity,2019-08-31,2.0,2
4,Robbery (Excluding Chain Snatching),2019-08-31,88.0,95
5,Robbery -Chain Snatching,2019-08-31,11.0,24
6,Extortion,2019-08-31,18.0,22
7,H.B.T.Day / Night,2019-08-31,53.0,190
8,Thefts,2019-08-31,126.0,484
9,M.V.Thefts.,2019-08-31,45.0,226
10,Hurt,2019-08-31,247.0,318
11,Riots.,2019-08-31,9.0,14
12,Rape,2019-08-31,53.0,69
13,Molestaion,2019-08-31,161.0,239
14,Other I.P.C.,2019-08-31,938.0,1632
1,Murder,2019-09-30,11.0,11
2,Att.to.C.Murder,2019-09-30,30.0,34
3,Dacoity,2019-09-30,0.0,1
4,Robbery (Excluding Chain Snatching),2019-09-30,54.0,65
5,Robbery -Chain Snatching,2019-09-30,2.0,6
6,Extortion,2019-09-30,15.0,23
7,H.B.T.Day / Night,2019-09-30,35.0,167
8,Thefts,2019-09-30,115.0,487
9,M.V.Thefts.,2019-09-30,60.0,209
10,Hurt,2019-09-30,235.0,311
11,Riots.,2019-09-30,27.0,35
12,Rape,2019-09-30,50.0,64
13,Molestaion,2019-09-30,138.0,195
14,Other I.P.C.,2019-09-30,721.0,1335
1,Murder,2019-10-31,12.0,17
2,Att.to.C.Murder,2019-10-31,34.0,36
3,Dacoity,2019-10-31,1.0,1
4,Robbery (Excluding Chain Snatching),2019-10-31,64.0,81
5,Robbery -Chain Snatching,2019-10-31,1.0,9
6,Extortion,2019-10-31,11.0,16
7,H.B.T.Day / Night,2019-10-31,42.0,159
8,Thefts,2019-10-31,95.0,530
9,M.V.Thefts.,2019-10-31,39.0,219
10,Hurt,2019-10-31,274.0,390
11,Riots.,2019-10-31,24.0,38
12,Rape,2019-10-31,47.0,69
13,Molestaion,2019-10-31,131.0,191
14,Other I.P.C.,2019-10-31,678.0,1393
1,Murder,2019-11-30,10.0,11
2,Att.to.C.Murder,2019-11-30,24.0,27
3,Dacoity,2019-11-30,3.0,3
4,Robbery (Excluding Chain Snatching),2019-11-30,66.0,85
5,Robbery -Chain Snatching,2019-11-30,6.0,9
6,Extortion,2019-11-30,19.0,29
7,H.B.T.Day / Night,2019-11-30,59.0,190
8,Thefts,2019-11-30,96.0,532
9,M.V.Thefts.,2019-11-30,39.0,224
10,Hurt,2019-11-30,279.0,369
11,Riots.,2019-11-30,15.0,26
12,Rape,2019-11-30,48.0,70
13,Molestaion,2019-11-30,156.0,218
14,Other I.P.C.,2019-11-30,865.0,1662
1,Murder,2019-12-31,13.0,14
2,Att.to.C.Murder,2019-12-31,34.0,37
3,Dacoity,2019-12-31,3.0,3
4,Robbery (Excluding Chain Snatching),2019-12-31,66.0,96
5,Robbery -Chain Snatching,2019-12-31,9.0,18
6,Extortion,2019-12-31,24.0,32
7,H.B.T.Day / Night,2019-12-31,33.0,169
8,Thefts,2019-12-31,138.0,541
9,M.V.Thefts.,2019-12-31,49.0,255
10,Hurt,2019-12-31,270.0,369
11,Riots.,2019-12-31,25.0,33
12,Rape,2019-12-31,68.0,86
13,Molestaion,2019-12-31,206.0,282
14,Other I.P.C.,2019-12-31,2683.0,3423
1,Murder,2020-01-31,7.0,7
2,Att.to.C.Murder,2020-01-31,31.0,34
3,Dacoity,2020-01-31,1.0,1
4,Robbery (Excluding Chain Snatching),2020-01-31,74.0,87
5,Robbery -Chain Snatching,2020-01-31,5.0,11
6,Extortion,2020-01-31,19.0,25
7,H.B.T.Day / Night,2020-01-31,67.0,191
8,Thefts,2020-01-31,156.0,514
9,M.V.Thefts.,2020-01-31,63.0,246
10,Hurt,2020-01-31,297.0,372
11,Riots.,2020-01-31,15.0,29
12,Rape,2020-01-31,60.0,80
13,Molestaion,2020-01-31,172.0,224
14,Other I.P.C.,2020-01-31,988.0,1776
1,Murder,2020-02-29,18.0,20
2,Att.to.C.Murder,2020-02-29,28.0,30
3,Dacoity,2020-02-29,1.0,2
4,Robbery (Excluding Chain Snatching),2020-02-29,59.0,80
5,Robbery -Chain Snatching,2020-02-29,11.0,17
6,Extortion,2020-02-29,31.0,37
7,H.B.T.Day / Night,2020-02-29,46.0,142
8,Thefts,2020-02-29,102.0,483
9,M.V.Thefts.,2020-02-29,46.0,202
10,Hurt,2020-02-29,300.0,389
11,Riots.,2020-02-29,17.0,22
12,Rape,2020-02-29,53.0,70
13,Molestaion,2020-02-29,179.0,242
14,Other I.P.C.,2020-02-29,1073.0,1822
1,Murder,2020-03-31,10.0,12
2,Att.to.C.Murder,2020-03-31,25.0,27
3,Dacoity,2020-03-31,0.0,1
4,Robbery (Excluding Chain Snatching),2020-03-31,47.0,55
5,Robbery -Chain Snatching,2020-03-31,9.0,14
6,Extortion,2020-03-31,9.0,13
7,H.B.T.Day / Night,2020-03-31,33.0,110
8,Thefts,2020-03-31,81.0,301
9,M.V.Thefts.,2020-03-31,35.0,193
10,Hurt,2020-03-31,234.0,324
11,Riots.,2020-03-31,28.0,42
12,Rape,2020-03-31,58.0,73
13,Molestaion,2020-03-31,161.0,235
14,Other I.P.C.,2020-03-31,1731.0,2260
1,Murder,2020-04-30,7.0,8
2,Att.to.C.Murder,2020-04-30,8.0,11
3,Dacoity,2020-04-30,0.0,0
4,Robbery (Excluding Chain Snatching),2020-04-30,12.0,17
5,Robbery -Chain Snatching,2020-04-30,0.0,0
6,Extortion,2020-04-30,4.0,4
7,H.B.T.Day / Night,2020-04-30,20.0,66
8,Thefts,2020-04-30,2.0,34
9,M.V.Thefts.,2020-04-30,7.0,84
10,Hurt,2020-04-30,74.0,134
11,Riots.,2020-04-30,6.0,14
12,Rape,2020-04-30,6.0,17
13,Molestaion,2020-04-30,12.0,36
14,Other I.P.C.,2020-04-30,4955.0,5278
1,Murder,2020-05-31,10.0,10
2,Att.to.C.Murder,2020-05-31,17.0,19
3,Dacoity,2020-05-31,1.0,1
4,Robbery (Excluding Chain Snatching),2020-05-31,3.0,10
5,Robbery -Chain Snatching,2020-05-31,2.0,2
6,Extortion,2020-05-31,2.0,4
7,H.B.T.Day / Night,2020-05-31,9.0,49
8,Thefts,2020-05-31,7.0,51
9,M.V.Thefts.,2020-05-31,3.0,158
10,Hurt,2020-05-31,110.0,252
11,Riots.,2020-05-31,15.0,24
12,Rape,2020-05-31,12.0,19
13,Molestaion,2020-05-31,26.0,56
14,Other I.P.C.,2020-05-31,1611.0,1877
1,Murder,2020-06-30,12.0,13
2,Att.to.C.Murder,2020-06-30,29.0,36
3,Dacoity,2020-06-30,0.0,0
4,Robbery (Excluding Chain Snatching),2020-06-30,15.0,21
5,Robbery -Chain Snatching,2020-06-30,2.0,12
6,Extortion,2020-06-30,6.0,9
7,H.B.T.Day / Night,2020-06-30,26.0,105
8,Thefts,2020-06-30,25.0,126
9,M.V.Thefts.,2020-06-30,31.0,235
10,Hurt,2020-06-30,189.0,302
11,Riots.,2020-06-30,2.0,12
12,Rape,2020-06-30,26.0,46
13,Molestaion,2020-06-30,49.0,103
14,Other I.P.C.,2020-06-30,4385.0,4777
1,Murder,2020-07-31,10.0,10
2,Att.to.C.Murder,2020-07-31,13.0,18
3,Dacoity,2020-07-31,2.0,3
4,Robbery (Excluding Chain Snatching),2020-07-31,23.0,34
5,Robbery -Chain Snatching,2020-07-31,1.0,5
6,Extortion,2020-07-31,6.0,12
7,H.B.T.Day / Night,2020-07-31,47.0,176
8,Thefts,2020-07-31,40.0,210
9,M.V.Thefts.,2020-07-31,37.0,241
10,Hurt,2020-07-31,157.0,224
11,Riots.,2020-07-31,16.0,24
12,Rape,2020-07-31,38.0,48
13,Molestaion,2020-07-31,43.0,87
14,Other I.P.C.,2020-07-31,7211.0,7735
1,Murder,2020-08-31,9.0,10
2,Att.to.C.Murder,2020-08-31,24.0,24
3,Dacoity,2020-08-31,1.0,2
4,Robbery (Excluding Chain Snatching),2020-08-31,41.0,53
5,Robbery -Chain Snatching,2020-08-31,2.0,16
6,Extortion,2020-08-31,9.0,16
7,H.B.T.Day / Night,2020-08-31,53.0,171
8,Thefts,2020-08-31,79.0,282
9,M.V.Thefts.,2020-08-31,36.0,250
10,Hurt,2020-08-31,171.0,249
11,Riots.,2020-08-31,12.0,18
12,Rape,2020-08-31,34.0,54
13,Molestaion,2020-08-31,84.0,129
14,Other I.P.C.,2020-08-31,1677.0,2114
1,Murder,2020-09-30,14.0,14
2,Att.to.C.Murder,2020-09-30,21.0,23
3,Dacoity,2020-09-30,1.0,1
4,Robbery (Excluding Chain Snatching),2020-09-30,39.0,53
5,Robbery -Chain Snatching,2020-09-30,7.0,15
6,Extortion,2020-09-30,10.0,16
7,H.B.T.Day / Night,2020-09-30,52.0,176
8,Thefts,2020-09-30,77.0,281
9,M.V.Thefts.,2020-09-30,49.0,293
10,Hurt,2020-09-30,242.0,329
11,Riots.,2020-09-30,17.0,25
12,Rape,2020-09-30,55.0,78
13,Molestaion,2020-09-30,129.0,199
14,Other I.P.C.,2020-09-30,1459.0,2029
1,Murder,2020-10-31,15.0,17
2,Att.to.C.Murder,2020-10-31,51.0,55
3,Dacoity,2020-10-31,2.0,2
4,Robbery (Excluding Chain Snatching),2020-10-31,46.0,69
5,Robbery -Chain Snatching,2020-10-31,7.0,16
6,Extortion,2020-10-31,18.0,21
7,H.B.T.Day / Night,2020-10-31,42.0,160
8,Thefts,2020-10-31,100.0,396
9,M.V.Thefts.,2020-10-31,59.0,322
10,Hurt,2020-10-31,315.0,464
11,Riots.,2020-10-31,26.0,34
12,Rape,2020-10-31,61.0,80
13,Molestaion,2020-10-31,159.0,230
14,Other I.P.C.,2020-10-31,1394.0,2038
1,Murder,2020-11-30,11.0,12
2,Att.to.C.Murder,2020-11-30,33.0,38
3,Dacoity,2020-11-30,0.0,0
4,Robbery (Excluding Chain Snatching),2020-11-30,60.0,79
5,Robbery -Chain Snatching,2020-11-30,9.0,20
6,Extortion,2020-11-30,20.0,22
7,H.B.T.Day / Night,2020-11-30,37.0,152
8,Thefts,2020-11-30,82.0,360
9,M.V.Thefts.,2020-11-30,59.0,294
10,Hurt,2020-11-30,319.0,442
11,Riots.,2020-11-30,29.0,42
12,Rape,2020-11-30,42.0,65
13,Molestaion,2020-11-30,158.0,224
14,Other I.P.C.,2020-11-30,863.0,1508
1,Murder,2020-12-31,10.0,11
2,Att.to.C.Murder,2020-12-31,23.0,25
3,Dacoity,2020-12-31,1.0,1
4,Robbery (Excluding Chain Snatching),2020-12-31,42.0,56
5,Robbery -Chain Snatching,2020-12-31,3.0,10
6,Extortion,2020-12-31,20.0,26
7,H.B.T.Day / Night,2020-12-31,45.0,147
8,Thefts,2020-12-31,86.0,398
9,M.V.Thefts.,2020-12-31,53.0,286
10,Hurt,2020-12-31,263.0,346
11,Riots.,2020-12-31,20.0,32
12,Rape,2020-12-31,45.0,62
13,Molestaion,2020-12-31,118.0,171
14,Other I.P.C.,2020-12-31,1130.0,1742
1,Murder,2021-01-31,12.0,12
2,Att.to.C.Murder,2021-01-31,34.0,36
3,Dacoity,2021-01-31,1.0,1
4,Robbery (Excluding Chain Snatching),2021-01-31,65.0,77
5,Robbery -Chain Snatching,2021-01-31,4.0,12
6,Extortion,2021-01-31,20.0,31
7,H.B.T.Day / Night,2021-01-31,53.0,176
8,Thefts,2021-01-31,125.0,412
9,M.V.Thefts.,2021-01-31,59.0,325
10,Hurt,2021-01-31,268.0,341
11,Riots.,2021-01-31,15.0,30
12,Rape,2021-01-31,49.0,75
13,Molestaion,2021-01-31,125.0,169
14,Other I.P.C.,2021-01-31,745.0,1443
1,Murder,2021-02-28,14.0,15
2,Att.to.C.Murder,2021-02-28,26.0,31
3,Dacoity,2021-02-28,1.0,2
4,Robbery (Excluding Chain Snatching),2021-02-28,52.0,63
5,Robbery -Chain Snatching,2021-02-28,2.0,12
6,Extortion,2021-02-28,27.0,31
7,H.B.T.Day / Night,2021-02-28,50.0,153
8,Thefts,2021-02-28,95.0,350
9,M.V.Thefts.,2021-02-28,50.0,248
10,Hurt,2021-02-28,287.0,359
11,Riots.,2021-02-28,12.0,21
12,Rape,2021-02-28,52.0,73
13,Molestaion,2021-02-28,101.0,151
14,Other I.P.C.,2021-02-28,883.0,1518
1,Murder,2021-03-01,15,14
2,Att.to.C.Murder,2021-03-01,34,32
3,Dacoity,2021-03-01,2,1
4,Robbery (Excluding Chain Snatching),2021-03-01,66,54
5,Robbery -Chain Snatching,2021-03-01,14,7
6,Extortion,2021-03-01,25,14
7,H.B.T.Day / Night,2021-03-01,115,28
8,Thefts,2021-03-01,366,104
9,M.V.Thefts.,2021-03-01,329,78
10,Hurt,2021-03-01,435,340
11,Riots.,2021-03-01,27,19
12,Rape,2021-03-01,70,40
13,Molestaion,2021-03-01,201,134
14,Other I.P.C.,2021-03-01,2308,1602
1,Murder,2021-03-31,14.0,15
2,Att.to.C.Murder,2021-03-31,32.0,34
3,Dacoity,2021-03-31,1.0,2
4,Robbery (Excluding Chain Snatching),2021-03-31,54.0,66
5,Robbery -Chain Snatching,2021-03-31,7.0,14
6,Extortion,2021-03-31,14.0,25
7,H.B.T.Day / Night,2021-03-31,28.0,115
8,Thefts,2021-03-31,104.0,366
9,M.V.Thefts.,2021-03-31,78.0,329
10,Hurt,2021-03-31,340.0,435
11,Riots.,2021-03-31,19.0,27
12,Rape,2021-03-31,40.0,70
13,Molestaion,2021-03-31,134.0,201
14,Other I.P.C.,2021-03-31,1602.0,2308
1,Murder,2021-04-30,6.0,7
2,Att.to.C.Murder,2021-04-30,24.0,27
3,Dacoity,2021-04-30,1.0,1
4,Robbery (Excluding Chain Snatching),2021-04-30,28.0,40
5,Robbery -Chain Snatching,2021-04-30,2.0,4
6,Extortion,2021-04-30,5.0,12
7,H.B.T.Day / Night,2021-04-30,31.0,95
8,Thefts,2021-04-30,66.0,258
9,M.V.Thefts.,2021-04-30,39.0,198
10,Hurt,2021-04-30,246.0,321
11,Riots.,2021-04-30,19.0,27
12,Rape,2021-04-30,41.0,66
13,Molestaion,2021-04-30,93.0,138
14,Other I.P.C.,2021-04-30,7326.0,7843
1,Murder,2021-05-31,20.0,22
2,Att.to.C.Murder,2021-05-31,38.0,42
3,Dacoity,2021-05-31,0.0,0
4,Robbery (Excluding Chain Snatching),2021-05-31,48.0,55
5,Robbery -Chain Snatching,2021-05-31,4.0,6
6,Extortion,2021-05-31,15.0,21
7,H.B.T.Day / Night,2021-05-31,37.0,104
8,Thefts,2021-05-31,106.0,303
9,M.V.Thefts.,2021-05-31,49.0,247
10,Hurt,2021-05-31,322.0,419
11,Riots.,2021-05-31,28.0,33
12,Rape,2021-05-31,43.0,71
13,Molestaion,2021-05-31,86.0,136
14,Other I.P.C.,2021-05-31,13063.0,13613
1,Murder,2021-06-30,18.0,19
2,Att.to.C.Murder,2021-06-30,35.0,35
3,Dacoity,2021-06-30,0.0,1
